Test Name,detect/moda,detect/modp,detect/precision,detect/recall,track/idf1,track/mota,track/motp
wild_135_segnet_res18_512_026,54.517,74.83,87.773,63.34,0.62,0.543,0.226
wild_13_mvdet_2_res18,75.105,73.621,96.978,77.521,0.731,0.685,0.148
wild_13_mvdet_2_res18_46,58.929,77.455,93.76,63.13,0.601,0.526,0.191
wild_13_segnet_1_res18_Z8,75.735,74.87,96.636,78.466,0.763,0.706,0.167
wild_13_segnet_1_res18_Z8_46,53.151,75.415,93.027,57.458,0.621,0.496,0.165
wild_13_segnet_2_res18_Z8,76.471,77.419,96.429,79.412,0.756,0.712,0.156
wild_13_segnet_2_res18_Z8_46,53.466,76.49,95.044,56.408,0.582,0.47,0.157
wild_13_segnet_3_res18_Z8,76.471,77.406,97.15,78.782,0.72,0.706,0.15
wild_13_segnet_3_res18_Z8_46,54.622,74.665,94.674,57.878,0.567,0.487,0.201
wild_13_segnet_4_res18_Z8,78.782,75.641,96.642,81.618,0.776,0.734,0.176
wild_13_segnet_4_res18_Z8_46,56.303,76.037,94.224,59.979,0.619,0.516,0.179
wild_25_mvdet_2_res18,81.197,79.012,96.399,84.349,0.735,0.756,0.134
wild_25_mvdet_2_res18_01,61.555,54.858,87.089,72.269,0.625,0.626,0.322
wild_25_segnet_1_res18_Z8,80.462,77.686,94.535,85.399,0.782,0.776,0.139
wild_25_segnet_1_res18_Z8_01,26.471,60.635,78.251,36.66,0.351,0.27,0.38
wild_25_segnet_2_res18_Z8,81.618,77.871,94.299,86.87,0.804,0.792,0.147
wild_25_segnet_2_res18_Z8_01,45.903,69.982,91.778,50.42,0.427,0.382,0.292
wild_25_segnet_3_res18_Z8,82.353,78.683,94.444,87.5,0.819,0.794,0.152
wild_25_segnet_3_res18_Z8_01,27.731,52.554,84.555,33.929,0.286,0.237,0.321
wild_25_segnet_4_res18_Z8,82.458,77.499,96.56,85.504,0.811,0.786,0.142
wild_25_segnet_4_res18_Z8_01,19.328,56.167,75.843,28.361,0.289,0.207,0.466
